Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress
	MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa
	FCC111		FCC311		BCC110		BCC211		FCC200		FCC220		FCC331		BCC321		BCC220		BCC200
0.0013704635	328.1309772663	0.0019212225	328.1309772663	0.0018056843	328.1309772663	0.0016062775	328.1309772663	0.0024903688	328.1309772663	0.0015902202	328.1309772663	0.0015039179	328.1309772663	0.0016953577	328.1309772663	0.0019204308	328.1309772663	0.00248456	328.1309773
0.0015944584	379.861121971038	0.0021959463	379.861121971038	0.0019452279	379.861121971038	0.0019386402	379.861121971038	0.0027875687	379.861121971038	0.0017931267	379.861121971038	0.0016966036	379.861121971038	0.0019159238	379.861121971038	0.0020792338	379.861121971038	0.003762054	379.861122
0.0018772219	429.695228389377	0.0025139989	429.695228389377	0.002348573	429.695228389377	0.0021795818	429.695228389377	0.0033319723	429.695228389377	0.0019661477	429.695228389377	0.0020201702	429.695228389377	0.0026454888	429.695228389377	0.0021620875	429.695228389377	0.004568856	429.6952284
0.0020169176	480.186917022179	0.0027158932	480.186917022179	0.0023604071	480.186917022179	0.0024282131	480.186917022179	0.0034091888	480.186917022179	0.0023082573	480.186917022179	0.0021874068	480.186917022179	0.0024223124	480.186917022179	0.0022400095	480.186917022179	0.004241812	480.186917
0.0022423577	530.748543288763	0.0030376335	530.748543288763	0.0026523146	530.748543288763	0.0028186752	530.748543288763	0.0039830346	530.748543288763	0.0025386899	530.748543288763	0.0023388893	530.748543288763	0.0028164602	530.748543288763	0.0027124729	530.748543288763	0.004911241	530.7485433
0.0024509379	581.171921563251	0.0032699502	581.171921563251	0.003068973	581.171921563251	0.0030271495	581.171921563251	0.0041163579	581.171921563251	0.0027510338	581.171921563251	0.0027024472	581.171921563251	0.0028751909	581.171921563251	0.002974843	581.171921563251	0.005414708	581.1719216
0.0026291704	632.624181516007	0.0035880029	632.624181516007	0.002989586	632.624181516007	0.0032732175	632.624181516007	0.0046524288	632.624181516007	0.0030223622	632.624181516007	0.0029557259	632.624181516007	0.0032562874	632.624181516007	0.0031267415	632.624181516007	0.006061823	632.6241815
0.0028497933	683.05921055636	0.0038820864	683.05921055636	0.0035600876	683.05921055636	0.0035585881	683.05921055636	0.0051018396	683.05921055636	0.0032834666	683.05921055636	0.0031508353	683.05921055636	0.0035525509	683.05921055636	0.0034196886	683.05921055636	0.00546631	683.0592106
0.0031209958	733.164185617944	0.0041724823	733.164185617944	0.0037242855	733.164185617944	0.0037867137	733.164185617944	0.0054918103	733.164185617944	0.0035201908	733.164185617944	0.0032901992	733.164185617944	0.0036138918	733.164185617944	0.0040470096	733.164185617944	0.007017155	733.1641856
0.0032818868	784.715713067486	0.0045209574	784.715713067486	0.003970829	784.715713067486	0.0040789195	784.715713067486	0.0055884698	784.715713067486	0.0036955711	784.715713067486	0.0036622401	784.715713067486	0.0040498036	784.715713067486	0.0041989081	784.715713067486	0.007725634	784.7157131
0.0035217781	834.410744613116	0.0047412895	834.410744613116	0.0043421234	834.410744613116	0.0043668533	834.410744613116	0.0061089863	834.410744613116	0.0040486913	834.410744613116	0.0037337399	834.410744613116	0.0044622232	834.410744613116	0.0044159059	834.410744613116	0.007446008	834.4107446
0.0039249689	936.602786670729	0.0054161143	936.602786670729	0.0049782056	936.602786670729	0.004923924	936.602786670729	0.0069578115	936.602786670729	0.0043845093	936.602786670729	0.0042475684	936.602786670729	0.0050273424	936.602786670729	0.0048311609	936.602786670729	0.008612628	936.6027867
0.0041094637	987.666591707774	0.0056428997	987.666591707774	0.0052405278	987.666591707774	0.0051537583	987.666591707774	0.0073105628	987.666591707774	0.0047502127	987.666591707774	0.0044923641	987.666591707774	0.0053275212	987.666591707774	0.0052276751	987.666591707774	0.008204695	987.6665917
0.0043165987	1038.78541065532	0.0059655618	1038.78541065532	0.0053174494	1038.78541065532	0.0055809598	1038.78541065532	0.0076733134	1038.78541065532	0.0049193014	1038.78541065532	0.0047056514	1038.78541065532	0.005596377	1038.78541065532	0.0053411058	1038.78541065532	0.009109819	1038.785411
0.0045054289	1089.5095168896	0.0062836145	1089.5095168896	0.0057247392	1089.5095168896	0.0058535143	1089.5095168896	0.0081477223	1089.5095168896	0.0051709683	1089.5095168896	0.0049116675	1089.5095168896	0.0060962399	1089.5095168896	0.0059161501	1089.5095168896	0.010340593	1089.509517
0.0047583263	1141.06189510007	0.0065712447	1141.06189510007	0.0061502732	1141.06189510007	0.0060918927	1141.06189510007	0.0085238052	1141.06189510007	0.0053518539	1141.06189510007	0.0050292179	1141.06189510007	0.006315501	1141.06189510007	0.0060946801	1141.06189510007	0.011615996	1141.061895
0.004896577	1193.71642550035	0.0069446109	1193.71642550035	0.0064845861	1193.71642550035	0.0064900445	1193.71642550035	0.0090309893	1193.71642550035	0.0054713957	1193.71642550035	0.0053152168	1193.71642550035	0.0066130695	1193.71642550035	0.0067358101	1193.71642550035	0.012362131	1193.716426
0.0051080474	1233.98291781891	0.0071760057	1233.98291781891	0.0069416777	1233.98291781891	0.0068634186	1233.98291781891	0.0092415291	1233.98291781891	0.0055138645	1233.98291781891	0.0054158012	1233.98291781891	0.0069576226	1233.98291781891	0.0068561452	1233.98291781891	0.016626954	1330.990877
0.0052255846	1285.63349680388	0.0074156976	1285.63349680388	0.0073218477	1285.63349680388	0.0074042556	1285.63349680388	0.009898702	1285.63349680388	0.0056743021	1285.63349680388	0.0055660718	1285.63349680388	0.0073674319	1285.63349680388	0.0074795208	1285.63349680388		
0.0053079569	1318.97927047655	0.0075862476	1318.97927047655	0.0077582296	1318.97927047655	0.0078280395	1318.97927047655	0.010022026	1318.97927047655	0.0055539739	1318.97927047655	0.0054800298	1318.97927047655	0.00797301	1318.97927047655	0.0079648069	1318.97927047655		
0.0054120061	1330.99087746377	0.0076664522	1330.99087746377	0.0079944183	1330.99087746377	0.0081612566	1330.99087746377	0.0099720299	1330.99087746377	0.0056868855	1330.99087746377	0.0055745548	1330.99087746377	0.0080917764	1330.99087746377	0.0075751971	1330.99087746377		
0.005395628	1341.74385815122	0.00782133	1341.74385815122	0.008299146	1341.74385815122	0.0081518582	1341.74385815122	0.010155349	1341.74385815122	0.0056326198	1341.74385815122	0.005521233	1341.74385815122	0.0081100482	1341.74385815122	0.0081758866	1341.74385815122		
