#Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress
#	MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa
#	FCC111		FCC311		BCC110		BCC211		BCC200		FCC200		FCC220		FCC331		BCC321		BCC220		FCC222		FCC400
-0.001641487	1318.97927	-0.002155212	1318.97927	-0.001865495	1318.97927	-0.002804668	1318.97927	-0.004248047	1318.97927	-0.002333901	1318.97927	-0.002295743	1318.97927	-0.001992679	1318.97927	-0.002919832	1318.97927	-0.002555942	1318.97927	-0.001470821	1318.97927	-0.003405533	1318.97927
-0.001629446	1330.990877	-0.00220409	1330.990877	-0.001792852	1330.990877	-0.00300335	1330.990877	-0.003963344	1330.990877	-0.001888581	1330.990877	-0.002261137	1330.990877	-0.002117448	1330.990877	-0.002855761	1330.990877	-0.002188266	1330.990877	-0.001672131	1330.990877	-0.003505434	1330.990877
-0.001631372	1341.743858	-0.002222534	1341.743858	-0.001675733	1341.743858	-0.003098409	1341.743858	-0.004353493	1341.743858	-0.002175454	1341.743858	-0.00235001	1341.743858	-0.002144098	1341.743858	-0.002685775	1341.743858	-0.002447221	1341.743858	-0.001776158	1341.743858	-0.003602006	1341.743858
-0.001612588	1351.035755	-0.002186567	1351.035755	-0.002269726	1351.035755	-0.003131808	1351.035755	-0.004532047	1351.035755	-0.001750148	1351.035755	-0.002338999	1351.035755	-0.002079896	1351.035755	-0.003062359	1351.035755	-0.002193208	1351.035755	-0.001511275	1351.035755	-0.003650846	1351.035755
-0.001687245	1359.465569	-0.002098035	1359.465569	-0.001870436	1359.465569	-0.003372453	1359.465569	-0.004751374	1359.465569	-0.001822978	1359.465569	-0.00235001	1359.465569	-0.002129562	1359.465569	-0.003248035	1359.465569	-0.002510477	1359.465569	-0.001686579	1359.465569	-0.003340042	1359.465569
-0.001655937	1367.121672	-0.001996592	1367.121672	-0.001877849	1367.121672	-0.00333049	1367.121672	-0.004268433	1367.121672	-0.001999772	1367.121672	-0.002475847	1367.121672	-0.002127139	1367.121672	-0.00304536	1367.121672	-0.00280699	1367.121672	-0.00170488	1367.121672	-0.003496554	1367.121672
-0.001756122	1374.07561	-0.002134001	1374.07561	-0.001878343	1374.07561	-0.003497486	1374.07561	-0.005027641	1374.07561	-0.001650632	1374.07561	-0.002438096	1374.07561	-0.002098066	1374.07561	-0.002740693	1374.07561	-0.002290069	1374.07561	-0.001651904	1374.07561	-0.003759628	1374.07561
-0.00175275	1386.374406	-0.002062991	1386.374406	-0.001989532	1386.374406	-0.003470938	1386.374406	-0.005429037	1386.374406	-0.00172513	1386.374406	-0.002492363	1386.374406	-0.002179227	1386.374406	-0.002829609	1386.374406	-0.00178402	1386.374406	-0.001759783	1386.374406	-0.003754078	1386.374406
-0.001731557	1398.479763	-0.002141379	1398.479763	-0.001970753	1398.479763	-0.003631938	1398.479763	-0.005971026	1398.479763	-0.001605044	1398.479763	-0.002582809	1398.479763	-0.002145309	1398.479763	-0.00336441	1398.479763	-0.002366174	1398.479763	-0.001657683	1398.479763	-0.00389616	1398.479763
-0.001786466	1405.999054	-0.002095268	1405.999054	-0.001678698	1405.999054	-0.003914546	1405.999054	-0.005876828	1405.999054	-0.00154778	1405.999054	-0.002500228	1405.999054	-0.002273713	1405.999054	-0.003508244	1405.999054	-0.001633787	1405.999054	-0.001703917	1405.999054	-0.00386397	1405.999054
-0.001745044	1412.047528	-0.002141379	1412.047528	-0.001825961	1412.047528	-0.003940238	1412.047528	-0.006096155	1412.047528	-0.001467723	1412.047528	-0.002472701	1412.047528	-0.002261599	1412.047528	-0.0039489	1412.047528	-0.002164545	1412.047528	-0.001599891	1412.047528	-0.004012712	1412.047528
-0.001686763	1417.226711	-0.002081435	1417.226711	-0.002045373	1417.226711	-0.003995047	1417.226711	-0.005911274	1417.226711	-0.001566127	1417.226711	-0.002543485	1417.226711	-0.002171959	1417.226711	-0.003063666	1417.226711	-0.003131177	1417.226711	-0.001606633	1417.226711	-0.004359037	1417.226711
-0.001746007	1422.351419	-0.002011347	1422.351419	-0.001714278	1422.351419	-0.00397535	1422.351419	-0.006228313	1422.351419	-0.001765715	1422.351419	-0.002397985	1422.351419	-0.002242218	1422.351419	-0.003370948	1422.351419	-0.00185123	1422.351419	-0.001853215	1422.351419	-0.003983852	1422.351419
-0.001738782	1427.334626	-0.002086046	1427.334626	-0.001830409	1427.334626	-0.004109803	1427.334626	-0.006739373	1427.334626	-0.001426582	1427.334626	-0.00247742	1427.334626	-0.002251909	1427.334626	-0.003203578	1427.334626	-0.001931288	1427.334626	-0.00173763	1427.334626	-0.004244706	1427.334626
-0.001654974	1431.984598	-0.001979992	1431.984598	-0.001646577	1431.984598	-0.004390698	1431.984598	-0.007689085	1431.984598	-0.001278142	1431.984598	-0.002553709	1431.984598	-0.002272502	1431.984598	-0.004107117	1431.984598	-0.002572745	1431.984598	-0.001700064	1431.984598	-0.004599911	1431.984598
-0.001787911	1436.954376	-0.002005814	1436.954376	-0.001403445	1436.954376	-0.004207431	1436.954376	-0.006676808	1436.954376	-0.001542777	1436.954376	-0.002542698	1436.954376	-0.002327013	1436.954376	-0.003386639	1436.954376	-0.002357278	1436.954376	-0.001822392	1436.954376	-0.004804154	1436.954376
-0.001727704	1441.339982	-0.002044547	1441.339982	-0.001520563	1441.339982	-0.004215138	1441.339982	-0.007477491	1441.339982	-0.001330958	1441.339982	-0.002490004	1441.339982	-0.002219202	1441.339982	-0.003520013	1441.339982	-0.00326955	1441.339982	-0.001756894	1441.339982	-0.004992857	1441.339982
-0.001705548	1446.063792	-0.002019647	1446.063792	-0.001248275	1446.063792	-0.004397549	1446.063792	-0.008593807	1446.063792	-0.001448264	1446.063792	-0.002512025	1446.063792	-0.002232527	1446.063792	-0.003097663	1446.063792	-0.002466988	1446.063792	-0.001649014	1446.063792	-0.005456844	1446.063792
-0.001629446	1450.587064	-0.001942181	1450.587064	-0.001814595	1450.587064	-0.004665598	1450.587064	-0.00836956	1450.587064	-0.001154164	1450.587064	-0.002484498	1450.587064	-0.002348817	1450.587064	-0.003467709	1450.587064	-0.002456116	1450.587064	-0.001701028	1450.587064	-0.004346827	1450.587064
-0.001740227	1454.995203	-0.001897915	1454.995203	-9.68575E-4	1454.995203	-0.004532002	1454.995203	-0.006994551	1454.995203	-0.001348748	1454.995203	-0.002491577	1454.995203	-0.002228893	1454.995203	-0.003488631	1454.995203	-0.001813671	1454.995203	-0.001745335	1454.995203	-0.00516269	1454.995203
-0.001718552	1459.194066	-0.002028869	1459.194066	-0.001877849	1459.194066	-0.004734109	1459.194066	-0.008259193	1459.194066	-0.001319838	1459.194066	-0.002504161	1459.194066	-0.002314899	1459.194066	-0.004012971	1459.194066	-0.002256464	1459.194066	-0.001816613	1459.194066	-0.004855215	1459.194066
-0.001714218	1463.446399	-0.002005814	1463.446399	-9.93283E-4	1463.446399	-0.004749524	1463.446399	-0.009684113	1463.446399	-0.001028518	1463.446399	-0.002512025	1463.446399	-0.002280981	1463.446399	-0.003700459	1463.446399	-0.001678264	1463.446399	-0.001825282	1463.446399	-0.004686492	1463.446399
-0.00166268	1467.781108	-0.00195417	1467.781108	-2.87607E-4	1467.781108	-0.004727258	1467.781108	-0.008900302	1467.781108	-0.001315391	1467.781108	-0.002488431	1467.781108	-0.002416653	1467.781108	-0.003560548	1467.781108	-0.00228908	1467.781108	-0.001520907	1467.781108	-0.004591031	1467.781108
-0.001685318	1472.1094	-0.001926503	1472.1094	-8.05004E-4	1472.1094	-0.004964477	1472.1094	-0.010365291	1472.1094	-0.001471058	1472.1094	-0.002572585	1472.1094	-0.002331858	1472.1094	-0.004058737	1472.1094	-0.001554717	1472.1094	-0.001642272	1472.1094	-0.004788614	1472.1094
-0.001684355	1476.266857	-0.001899759	1476.266857	-1.64559E-4	1476.266857	-0.00511777	1476.266857	-0.009679193	1484.67257	-9.4568E-4	1476.266857	-0.002525396	1476.266857	-0.002310054	1476.266857	-0.004173804	1476.266857	-0.001835416	1476.266857	-0.001627824	1476.266857	-0.005535655	1476.266857
-0.001639561	1480.35756	-0.001932959	1480.35756	-2.31272E-4	1480.35756	-0.005462895	1480.35756	-0.008605758	1488.529284	-0.001497744	1480.35756	-0.002588314	1480.35756	-0.002335492	1480.35756	-0.004295409	1488.529284	-0.001337274	1492.708195	-0.001647088	1480.35756	-0.00520265	1480.35756
-0.001769126	1484.67257	-0.001894226	1484.67257	2.86125E-4	1484.67257	-0.00515117	1484.67257	-0.011064746	1500.140959	-8.2615E-4	1484.67257	-0.00257809	1484.67257	-0.002225259	1484.67257	-0.003699151	1492.708195			-0.001691396	1484.67257	-0.005018387	1484.67257
-0.001712773	1488.529284	-0.001908981	1488.529284	-7.46E-5	1488.529284	-0.005195702	1488.529284	-0.011211667	1503.749847	-0.001315391	1488.529284	-0.002540339	1488.529284	-0.00236093	1488.529284	-0.004126731	1500.140959			-0.001654794	1488.529284	-0.005665527	1488.529284
-0.001763347	1492.708195	-0.001921892	1492.708195	-6.78991E-4	1492.708195	-0.00548773	1492.708195	-0.010919232	1507.373407	-0.00112025	1492.708195	-0.002588314	1492.708195	-0.002303997	1492.708195	-0.003695229	1507.373407			-0.001621081	1492.708195	-0.005386913	1492.708195
-0.001740227	1496.466681	-0.001961547	1496.466681	2.68829E-4	1496.466681	-0.00580288	1496.466681	-0.012626043	1541.246646	-9.54576E-4	1496.466681	-0.002580449	1496.466681	-0.002393637	1496.466681					-0.001475637	1496.466681	-0.005880871	1496.466681
-0.001793209	1500.140959	-0.002011347	1500.140959	-4.94E-6	1500.140959	-0.005604198	1500.140959	-0.014497348	1551.694304	-0.001224214	1500.140959	-0.00260483	1500.140959	-0.002434823	1500.140959					-0.001722218	1500.140959	-0.005792069	1500.140959
-0.001822109	1503.749847	-0.001749438	1503.749847	0.001011568	1503.749847	-0.005412368	1503.749847	-0.013961685	1556.860823	-8.47832E-4	1503.749847	-0.00250652	1503.749847	-0.002341549	1503.749847					-0.001675021	1503.749847	-0.005906401	1503.749847
-0.001764791	1507.373407	-0.001813071	1507.373407	0.001086682	1507.373407	-0.005944184	1507.373407			-0.001613383	1507.373407	-0.002534047	1507.373407	-0.002348817	1507.373407					-0.001720292	1507.373407	-0.005473495	1507.373407
-0.001692543	1511.135044	-0.001988292	1511.135044	0.002056245	1511.135044	-0.006190824	1511.135044			-0.001304828	1511.135044	-0.002500228	1511.135044	-0.002318533	1511.135044					-0.001764599	1511.135044	-0.006793305	1511.135044
-0.00175564	1514.819428	-0.001885004	1514.819428	0.001527482	1514.819428	-0.006050376	1514.819428			-0.001072438	1514.819428	-0.002541912	1514.819428	-0.002404539	1514.819428					-0.001746298	1514.819428	-0.005769869	1514.819428
-0.001781649	1518.072835	-0.001823215	1518.072835	0.002314696	1518.072835	-0.005969876	1518.072835			-0.001096344	1518.072835	-0.002501015	1518.072835	-0.002350028	1518.072835					-0.001777121	1518.072835	-0.005459064	1518.072835
-0.00160729	1521.545507	-0.001782638	1521.545507	0.00195148	1521.545507	-0.006356106	1521.545507			-0.001502748	1521.545507	-0.002563147	1521.545507	-0.002406962	1521.545507					-0.001572921	1521.545507	-0.00520709	1521.545507
-0.001788393	1524.855945	-0.001892381	1524.855945	0.002268738	1524.855945	-0.006082063	1524.855945			-0.001426026	1524.855945	-0.002603257	1524.855945	-0.002307631	1524.855945					-0.001591222	1524.855945	-0.006082894	1524.855945
-0.001743599	1528.28613	-0.001852726	1528.28613	0.002074529	1528.28613	-0.006390362	1528.28613			-0.001360979	1528.28613	-0.00253562	1528.28613	-0.002379101	1528.28613					-0.001614339	1528.28613	-0.005552306	1528.28613
-0.001825962	1541.246646	-0.001905292	1541.246646	0.002988745	1541.246646	-0.006628438	1541.246646			-0.00150664	1541.246646	-0.002547417	1541.246646	-0.002392426	1541.246646					-0.001544988	1541.246646	-0.006049593	1541.246646
-0.001827889	1545.288024	-0.001813071	1545.288024	0.002501987	1545.288024	-0.006700374	1545.288024			-0.001356532	1545.288024	-0.002585955	1545.288024	-0.002393637	1545.288024					-0.001596038	1545.288024	-0.006404799	1545.288024
-0.001735892	1548.463774	-0.001905292	1548.463774	0.002666545	1548.463774	-0.006736342	1548.463774			-0.001213095	1548.463774	-0.002622133	1548.463774	-0.002399694	1548.463774					-0.001786753	1548.463774	-0.006708944	1548.463774
-0.001756603	1551.694304	-0.001864715	1551.694304	0.002917584	1551.694304	-0.006776593	1551.694304			-0.001514423	1551.694304	-0.002541125	1551.694304	-0.002374255	1551.694304					-0.001570031	1551.694304	-0.006778875	1551.694304
-0.001813921	1554.944045	-0.001765116	1554.944045	0.002574136	1554.944045	-0.006695236	1554.944045			-0.001154164	1554.944045	-0.002626065	1554.944045	-0.002307631	1554.944045					-0.001630713	1554.944045	-0.006641233	1554.944045
-0.00176142	1556.860823	-0.001818604	1556.860823	0.003554076	1556.860823	-0.006989833	1556.860823			-0.001042973	1556.860823	-0.002629998	1556.860823	-0.002362142	1556.860823					-0.001584479	1556.860823	-0.006321548	1556.860823
-0.001798989	1559.257692	-0.001840738	1559.257692	0.003315886	1559.257692	-0.006986407	1559.257692			-0.001458271	1559.257692	-0.002560001	1559.257692	-0.002436034	1559.257692					-0.001764599	1559.257692	-0.006999768	1559.257692
-0.001722406	1563.455148	-0.001727305	1563.455148	0.003321322	1563.455148	-0.007263877	1563.455148			-0.001208091	1563.455148	-0.002546631	1563.455148	-0.002454205	1563.455148					-0.001589295	1563.455148	-0.006292687	1563.455148
-0.001759975	1566.288798	-0.001935725	1566.288798	0.003281294	1566.288798	-0.007524219	1566.288798			-0.001388221	1566.288798	-0.002556855	1566.288798	-0.002300363	1566.288798					-0.001837803	1566.288798	-0.005731018	1566.288798
-0.001855343	1570.65709	-0.001849037	1570.65709	0.003345536	1570.65709	-0.007274154	1570.65709			-0.00120142	1570.65709	-0.002580449	1570.65709	-0.002320956	1570.65709					-0.00183973	1570.65709	-0.008320688	1570.65709
-0.001723851	1565.789593	-0.00171255	1565.789593	0.004417392	1565.789593	-0.008663214	1565.789593			-0.001568351	1565.789593	-0.002618201	1565.789593	-0.002419075	1565.789593					-0.001583516	1565.789593	-0.005626677	1565.789593
-0.001758048	1588.203913	-0.001771572	1588.203913	0.004332889	1588.203913	-0.00904345	1588.203913			-0.001519982	1588.203913	-0.002600111	1588.203913	-0.002399694	1588.203913					-0.001684653	1588.203913	-0.006203886	1588.203913
-0.001765273	1593.53266	-0.001875782	1593.53266	0.005385473	1593.53266	-0.009307217	1593.53266			-0.001489961	1593.53266	-0.002691343	1593.53266	-0.002531731	1593.53266					-0.001444814	1593.53266	-0.007535906	1593.53266
-0.001716144	1601.923434	-0.001680272	1601.923434	0.005299487	1601.923434	-0.009678033	1601.923434			-0.00177183	1601.923434	-0.002523036	1601.923434	-0.002444514	1601.923434					-0.001924492	1601.923434	-0.00714629	1601.923434
-0.001823554	1603.041631	-0.001781716	1603.041631	0.0051967	1603.041631	-0.009421973	1603.041631			-0.001613383	1603.041631	-0.002566293	1603.041631	-0.002437246	1603.041631					-0.001803128	1603.041631	-0.006726704	1603.041631
-0.001817774	1608.98815	-0.001683039	1608.98815	0.00507464	1608.98815	-0.008814794	1608.98815			-0.001259795	1608.98815	-0.002551349	1608.98815	-0.002394848	1608.98815					-0.001697175	1608.98815	-0.007436005	1608.98815
-0.001794654	1610.645159	-0.00176696	1610.645159	0.005013857	1610.645159	-0.01012421	1610.645159			-0.00112303	1610.645159	-0.002494723	1610.645159	-0.0024857	1610.645159					-0.001786753	1610.645159	-0.00713186	1610.645159
